crop,soil_type,pH_range,sowing_month,seed_rate_kg_per_acre,fertilizer_type,fertilizer_schedule,irrigation_freq_per_month,crop_duration_days,common_disease,treatment,expected_yield_quintal_per_acre
Apple,Loamy,7.2 - 7.9,Aug,20.8,Urea,Top Dressing,7,149,Root Rot,Apply neem extract,11.16
Sugarcane,Clay,7.4 - 8.1,May,29.3,Urea,Top Dressing,5,169,Wilt,Apply neem extract,32.15
Carrot,Loamy,6.5 - 8.0,Dec,29.9,Vermicompost,Basal,2,165,Blight,Apply neem extract,32.91
Cotton,Loamy,6.3 - 8.1,Aug,28.4,DAP,Basal,8,136,Wilt,Use crop rotation,32.72
Papaya,Black soil,7.2 - 8.4,May,25.5,Compost,Top Dressing,7,112,Blight,Use fungicide,33.37
Bottle Gourd,Sandy loam,6.4 - 8.5,Aug,7.2,NPK,Both,6,121,Leaf Spot,Spray insecticide,26.32
Guava,Clay,6.1 - 7.7,Aug,13.1,Compost,Top Dressing,8,65,Leaf Spot,No treatment needed,21.72
Ginger,Loamy,6.7 - 8.2,Sep,13.1,Vermicompost,Top Dressing,2,163,No major disease,Apply neem extract,31.05
Finger Millet,Black soil,7.0 - 8.0,Feb,24.9,DAP,Basal,5,117,Stem Borer,Use crop rotation,5.28
Grapes,Alluvial,6.4 - 7.9,Jan,13.1,Vermicompost,Top Dressing,5,122,No major disease,No treatment needed,9.11
Cabbage,Loamy,5.6 - 8.5,Sep,12.7,Compost,Basal,2,73,No major disease,Use fungicide,15.58
Chickpea,Black soil,6.2 - 7.9,Aug,3.7,Compost,Top Dressing,5,63,No major disease,Use crop rotation,12.0
Maize,Clay,6.6 - 7.9,Jun,27.2,Vermicompost,Basal,6,80,Downy Mildew,Use crop rotation,25.09
Sesame,Loamy,6.3 - 8.4,Jul,20.8,Vermicompost,Basal,5,69,Wilt,No treatment needed,15.26
Wheat,Alluvial,6.3 - 7.7,Mar,4.9,Compost,Both,4,91,Blight,Use crop rotation,20.5
Peas,Loamy,6.4 - 7.7,May,18.3,NPK,Top Dressing,3,90,Wilt,Remove infected parts,9.76
Tomato,Sandy loam,6.7 - 7.9,May,16.6,Compost,Top Dressing,7,142,Downy Mildew,Use fungicide,14.07
Bottle Gourd,Clay,5.9 - 8.1,Nov,24.4,Urea,Top Dressing,3,140,Root Rot,Spray insecticide,29.98
Soybean,Clay,6.8 - 8.0,Mar,20.5,DAP,Top Dressing,3,74,Rust,Spray insecticide,34.35
Sorghum,Sandy loam,5.9 - 8.5,Mar,25.0,DAP,Both,6,122,Stem Borer,Use fungicide,31.99
Orange,Loamy,7.1 - 7.6,Apr,10.1,Compost,Top Dressing,6,114,Blight,Remove infected parts,26.68
Apple,Sandy loam,6.4 - 7.8,Jun,23.7,Vermicompost,Both,5,147,Root Rot,Apply neem extract,22.39
Tea,Clay,7.3 - 8.0,Jul,26.7,DAP,Top Dressing,3,140,Wilt,No treatment needed,10.69
Ginger,Clay,5.8 - 7.8,Jul,8.1,Vermicompost,Basal,5,85,Powdery Mildew,No treatment needed,33.21
Pigeon Pea,Alluvial,6.8 - 8.3,Sep,11.2,Urea,Both,6,133,Root Rot,No treatment needed,22.89
Sweet Corn,Alluvial,6.6 - 7.6,Aug,13.2,Compost,Basal,7,152,Blight,Spray insecticide,9.39
Papaya,Black soil,5.8 - 7.7,May,16.7,Urea,Basal,5,154,Leaf Spot,Spray insecticide,22.35
Okra,Black soil,6.2 - 8.3,Aug,26.2,Vermicompost,Basal,5,162,No major disease,Spray insecticide,19.68
Barley,Sandy loam,7.3 - 8.4,Nov,8.4,Compost,Top Dressing,6,119,Anthracnose,Use crop rotation,10.34
Tomato,Clay,7.2 - 7.8,Oct,17.7,Compost,Basal,6,139,Downy Mildew,No treatment needed,13.82
Rice,Alluvial,7.5 - 7.8,Aug,5.3,NPK,Both,4,142,Powdery Mildew,Use crop rotation,29.4
Maize,Sandy loam,6.2 - 8.1,Sep,15.9,Vermicompost,Basal,8,78,No major disease,No treatment needed,26.63
Okra,Clay,7.0 - 7.8,Sep,13.8,Urea,Basal,5,81,Anthracnose,No treatment needed,5.22
Black Gram,Black soil,6.9 - 7.9,Feb,4.3,DAP,Top Dressing,5,73,Anthracnose,No treatment needed,33.4
Barley,Alluvial,5.9 - 7.9,Dec,19.6,Compost,Basal,7,177,Wilt,Spray insecticide,12.61
Tea,Black soil,5.8 - 8.2,May,4.2,NPK,Both,2,75,Anthracnose,Spray insecticide,6.99
Garlic,Sandy loam,6.4 - 8.5,May,21.7,Urea,Basal,2,129,No major disease,Use crop rotation,9.79
Wheat,Sandy loam,7.4 - 8.3,Sep,4.1,DAP,Top Dressing,8,147,Wilt,No treatment needed,19.08
Barley,Black soil,7.2 - 8.4,Nov,23.8,Urea,Top Dressing,5,121,Stem Borer,Use crop rotation,18.82
Groundnut,Loamy,6.1 - 8.2,Sep,8.2,Urea,Top Dressing,3,167,Stem Borer,Spray insecticide,23.11
Garlic,Clay,6.6 - 8.0,Sep,12.3,Vermicompost,Top Dressing,3,142,Downy Mildew,Use crop rotation,5.21
Carrot,Sandy loam,6.1 - 8.2,Mar,25.3,DAP,Basal,6,153,No major disease,Spray insecticide,33.06
Cauliflower,Black soil,6.2 - 8.1,Aug,26.6,DAP,Both,3,130,Stem Borer,Spray insecticide,15.11
Sugarcane,Alluvial,5.8 - 7.8,Jun,26.7,Vermicompost,Basal,4,67,Wilt,Spray insecticide,26.91
Wheat,Sandy loam,5.7 - 8.0,Nov,15.1,Compost,Both,8,75,No major disease,Spray insecticide,16.79
Chili,Alluvial,6.5 - 8.3,Aug,4.3,DAP,Basal,7,164,Rust,No treatment needed,5.09
Orange,Alluvial,6.2 - 8.4,Sep,8.6,Vermicompost,Top Dressing,2,117,Rust,Apply neem extract,34.9
Chickpea,Clay,7.3 - 8.1,May,8.0,DAP,Basal,4,79,Wilt,No treatment needed,13.05
Sweet Corn,Sandy loam,7.2 - 8.3,Nov,5.4,DAP,Both,8,87,Rust,Use fungicide,9.75
Sunflower,Loamy,7.2 - 8.1,Jul,16.4,NPK,Both,3,112,No major disease,Use fungicide,27.92
Peas,Loamy,6.8 - 7.7,Sep,5.8,NPK,Both,2,109,No major disease,No treatment needed,30.13
Turmeric,Alluvial,6.9 - 8.0,May,24.3,NPK,Basal,7,80,Blight,Remove infected parts,22.12
Beetroot,Clay,5.5 - 8.4,Jul,14.1,DAP,Basal,8,140,Stem Borer,Remove infected parts,33.35
Soybean,Loamy,6.8 - 7.6,Apr,6.1,Urea,Top Dressing,6,92,Rust,Use fungicide,34.13
Potato,Loamy,6.7 - 7.9,Oct,13.9,Urea,Basal,7,91,Downy Mildew,Use fungicide,27.09
Cabbage,Clay,6.2 - 7.8,Feb,18.4,Compost,Top Dressing,3,120,No major disease,Use crop rotation,9.19
Sunflower,Loamy,6.2 - 8.1,Aug,18.3,Compost,Both,5,166,No major disease,Remove infected parts,33.94
Pigeon Pea,Sandy loam,6.6 - 7.8,Dec,28.9,Compost,Basal,4,84,Rust,Use crop rotation,33.14
Pineapple,Black soil,6.9 - 7.7,Dec,5.0,Urea,Both,8,142,No major disease,No treatment needed,23.59
Sugarcane,Sandy loam,6.9 - 8.1,Sep,7.0,Urea,Both,5,140,Blight,Use fungicide,25.8
Cabbage,Alluvial,5.9 - 8.5,Mar,22.0,Vermicompost,Both,2,125,Leaf Spot,Use fungicide,20.43
Sorghum,Clay,7.3 - 8.1,Feb,26.3,Compost,Top Dressing,5,157,Rust,No treatment needed,31.07
Sugarcane,Loamy,6.1 - 7.8,Jul,15.6,Vermicompost,Basal,5,133,Anthracnose,Spray insecticide,20.31
Lemon,Sandy loam,6.8 - 8.0,Jul,14.4,DAP,Basal,3,98,Downy Mildew,No treatment needed,18.57
Turmeric,Clay,7.5 - 8.4,Dec,17.0,NPK,Both,8,82,Wilt,Remove infected parts,25.69
Ginger,Alluvial,5.7 - 8.2,Jul,13.4,DAP,Basal,4,80,Blight,Spray insecticide,23.9
Rice,Sandy loam,6.5 - 8.0,Nov,28.4,Vermicompost,Top Dressing,6,104,Powdery Mildew,Use crop rotation,17.91
Radish,Sandy loam,7.1 - 8.5,Feb,25.3,Vermicompost,Both,6,86,Powdery Mildew,Use crop rotation,20.66
Green Gram,Loamy,6.9 - 8.1,Jan,22.7,Urea,Both,3,165,Powdery Mildew,Spray insecticide,19.3
Sesame,Clay,6.8 - 8.0,Feb,19.9,NPK,Basal,3,157,Downy Mildew,Use fungicide,17.35
Radish,Clay,7.4 - 8.2,Oct,9.7,Vermicompost,Basal,5,83,Stem Borer,Remove infected parts,23.3
Mango,Loamy,5.5 - 8.3,Sep,24.3,Vermicompost,Both,3,86,Anthracnose,No treatment needed,23.57
Coriander,Loamy,6.8 - 8.3,Apr,10.7,NPK,Basal,3,78,Leaf Spot,Apply neem extract,14.93
Pearl Millet,Loamy,5.6 - 7.7,Jun,3.3,Compost,Top Dressing,6,162,No major disease,Remove infected parts,9.23
Sorghum,Sandy loam,7.2 - 7.8,Aug,27.9,Compost,Basal,8,69,No major disease,No treatment needed,21.22
Sorghum,Black soil,6.4 - 8.5,Jan,14.5,Vermicompost,Both,8,156,Wilt,Use fungicide,30.44
Sunflower,Clay,7.0 - 8.2,Nov,18.6,Compost,Both,3,72,Leaf Spot,Remove infected parts,15.14
Finger Millet,Loamy,6.9 - 7.6,Apr,19.8,DAP,Basal,2,86,Stem Borer,Apply neem extract,25.42
Sugarcane,Sandy loam,7.0 - 8.0,Mar,13.6,Urea,Top Dressing,8,115,No major disease,Remove infected parts,15.17
Green Gram,Loamy,5.6 - 7.6,Oct,14.7,Compost,Top Dressing,7,105,No major disease,No treatment needed,32.98
Garlic,Black soil,6.0 - 8.0,May,9.0,NPK,Both,2,142,Wilt,Spray insecticide,15.68
Lemon,Alluvial,5.7 - 8.1,Jun,16.2,DAP,Both,3,68,Stem Borer,Apply neem extract,10.26
Bottle Gourd,Clay,7.3 - 8.2,Sep,10.7,Urea,Top Dressing,3,152,Downy Mildew,No treatment needed,23.82
Maize,Loamy,7.0 - 7.8,Sep,11.8,Compost,Basal,6,136,Blight,Use fungicide,15.66
Beetroot,Sandy loam,7.4 - 7.9,Mar,11.8,Vermicompost,Both,8,95,No major disease,No treatment needed,24.89
Pumpkin,Black soil,7.2 - 8.3,May,21.6,Vermicompost,Both,2,81,Stem Borer,No treatment needed,31.69
Turmeric,Alluvial,6.7 - 8.3,Jul,12.5,NPK,Top Dressing,5,151,Leaf Spot,Use crop rotation,10.32
Okra,Loamy,6.6 - 8.4,Jan,28.0,Vermicompost,Both,4,124,Stem Borer,Apply neem extract,18.56
Mango,Black soil,5.7 - 8.3,Jun,13.4,DAP,Basal,3,125,Rust,Spray insecticide,28.53
Chili,Loamy,7.4 - 8.3,Jul,7.3,DAP,Top Dressing,7,163,Downy Mildew,Use crop rotation,27.09
Ginger,Loamy,6.9 - 8.1,Mar,25.1,DAP,Top Dressing,6,173,Root Rot,Apply neem extract,23.03
Sweet Corn,Sandy loam,6.5 - 7.6,Apr,15.7,Compost,Top Dressing,8,168,Rust,Spray insecticide,15.91
Papaya,Loamy,6.7 - 7.9,Dec,19.7,Vermicompost,Basal,3,116,Powdery Mildew,Use fungicide,33.68
Cauliflower,Sandy loam,6.2 - 7.6,Feb,24.8,Vermicompost,Basal,4,124,Leaf Spot,No treatment needed,13.96
Wheat,Black soil,6.7 - 8.4,Sep,3.8,Compost,Both,5,93,Leaf Spot,Remove infected parts,30.69
Pineapple,Sandy loam,6.9 - 8.2,Jul,18.6,Vermicompost,Basal,2,86,Wilt,Remove infected parts,21.23
Sunflower,Black soil,6.2 - 8.1,Sep,6.9,Urea,Both,6,177,Wilt,Spray insecticide,5.04
Banana,Alluvial,6.9 - 8.4,Apr,26.5,Vermicompost,Top Dressing,2,176,Anthracnose,Spray insecticide,15.1
Pigeon Pea,Loamy,7.3 - 8.4,Jun,10.5,NPK,Top Dressing,4,162,Leaf Spot,Spray insecticide,23.67
Turmeric,Sandy loam,7.1 - 7.7,Jun,20.8,Vermicompost,Basal,3,108,Stem Borer,Apply neem extract,16.7
Spinach,Clay,5.8 - 7.6,Dec,14.2,Urea,Basal,7,127,Rust,Apply neem extract,24.11
Wheat,Loamy,7.0 - 7.6,Feb,10.0,Urea,Both,3,84,Downy Mildew,Remove infected parts,23.93
Okra,Clay,7.1 - 8.3,Sep,13.8,Vermicompost,Both,7,121,Downy Mildew,Use crop rotation,20.77
Soybean,Sandy loam,7.4 - 7.8,Jul,11.8,Urea,Top Dressing,6,179,Anthracnose,Apply neem extract,32.77
Pineapple,Alluvial,5.8 - 7.9,Sep,13.8,Compost,Basal,4,133,No major disease,Remove infected parts,14.34
Finger Millet,Black soil,6.7 - 7.9,Jun,16.9,DAP,Top Dressing,3,110,Leaf Spot,No treatment needed,27.95
Chickpea,Alluvial,7.0 - 7.7,Apr,24.1,DAP,Basal,5,102,Anthracnose,Remove infected parts,28.77
Tomato,Loamy,6.3 - 8.3,Jul,27.5,Urea,Both,7,91,Leaf Spot,Apply neem extract,16.24
Ginger,Loamy,6.1 - 7.6,Apr,9.2,Vermicompost,Top Dressing,2,161,Rust,Apply neem extract,14.43
Groundnut,Clay,6.6 - 7.7,Jun,19.6,NPK,Both,3,124,Leaf Spot,Remove infected parts,22.0
Banana,Sandy loam,6.6 - 8.1,Jul,22.3,Compost,Basal,8,105,Blight,Apply neem extract,25.04
Cotton,Alluvial,6.3 - 8.0,Jun,13.8,NPK,Both,8,170,Blight,Use crop rotation,12.89
Papaya,Loamy,7.1 - 8.2,Dec,11.9,Compost,Basal,3,169,No major disease,Spray insecticide,16.46
Carrot,Clay,7.1 - 8.1,Oct,14.6,NPK,Both,7,175,Root Rot,Use crop rotation,9.87
Grapes,Sandy loam,6.8 - 8.0,Feb,10.9,NPK,Top Dressing,4,170,Anthracnose,Spray insecticide,10.4
Garlic,Alluvial,7.4 - 7.8,Aug,21.3,Vermicompost,Basal,6,133,Leaf Spot,Use crop rotation,20.48
Radish,Alluvial,5.7 - 8.0,Sep,8.1,Compost,Top Dressing,8,164,No major disease,Spray insecticide,23.74
Onion,Clay,7.5 - 7.9,Apr,12.6,Vermicompost,Both,3,63,Stem Borer,Use fungicide,8.88
Apple,Loamy,7.4 - 8.4,Aug,18.0,Vermicompost,Top Dressing,7,122,Root Rot,Apply neem extract,12.99
Pigeon Pea,Clay,7.2 - 8.2,Jan,9.8,Vermicompost,Top Dressing,7,147,Root Rot,No treatment needed,11.19
Radish,Sandy loam,7.3 - 8.3,Dec,8.1,NPK,Both,7,63,Leaf Spot,No treatment needed,19.39
Sunflower,Alluvial,6.0 - 7.7,Mar,14.6,Vermicompost,Basal,5,132,Stem Borer,No treatment needed,34.56
Onion,Black soil,5.6 - 7.9,Aug,21.7,DAP,Top Dressing,5,164,Powdery Mildew,Remove infected parts,5.83
Potato,Loamy,6.5 - 7.8,Dec,13.4,Urea,Basal,5,164,No major disease,Remove infected parts,5.94
Orange,Alluvial,6.3 - 8.5,Dec,16.7,NPK,Both,4,169,No major disease,Apply neem extract,13.15
Chili,Sandy loam,6.1 - 8.4,Mar,4.4,NPK,Both,5,130,Anthracnose,No treatment needed,28.2
Apple,Clay,6.6 - 8.0,Jul,19.9,DAP,Both,8,145,Rust,No treatment needed,21.38
Wheat,Sandy loam,6.4 - 7.9,Nov,26.9,Vermicompost,Both,2,131,Downy Mildew,Spray insecticide,28.12
Coffee,Black soil,6.9 - 7.6,Apr,17.0,DAP,Both,4,81,Stem Borer,Spray insecticide,6.34
Sunflower,Black soil,7.4 - 7.8,Nov,10.7,Compost,Both,4,73,Blight,Use crop rotation,18.63
Barley,Black soil,5.7 - 7.6,Oct,27.3,NPK,Both,4,80,Root Rot,Use fungicide,21.58
Peas,Black soil,6.7 - 7.9,Jul,21.6,Vermicompost,Top Dressing,8,89,Anthracnose,Remove infected parts,24.37
Coriander,Alluvial,7.4 - 7.8,Dec,18.9,Vermicompost,Both,7,74,Wilt,No treatment needed,13.02
Brinjal,Alluvial,6.4 - 8.1,Mar,15.5,Urea,Basal,5,67,Anthracnose,Use fungicide,11.59
Green Gram,Loamy,7.1 - 8.4,Feb,11.8,NPK,Basal,8,110,Anthracnose,Spray insecticide,20.65
Green Gram,Sandy loam,5.8 - 8.0,Apr,4.5,DAP,Both,8,91,Rust,Use fungicide,31.06
Lemon,Clay,7.5 - 7.9,Feb,16.0,Vermicompost,Both,3,141,Rust,Spray insecticide,34.91
Guava,Alluvial,5.7 - 7.9,Mar,17.6,NPK,Basal,7,169,Leaf Spot,Remove infected parts,30.09
Sorghum,Alluvial,6.8 - 8.2,Jul,20.0,Vermicompost,Top Dressing,7,137,Downy Mildew,Use crop rotation,24.69
Grapes,Loamy,7.3 - 8.1,Apr,17.3,Urea,Both,3,110,Powdery Mildew,Use crop rotation,16.26
Black Gram,Sandy loam,7.2 - 7.8,Oct,17.9,NPK,Both,3,97,Downy Mildew,Apply neem extract,24.63
Peas,Loamy,7.5 - 8.3,Jul,26.8,NPK,Top Dressing,6,61,Anthracnose,Use fungicide,24.34
Mango,Clay,5.8 - 8.0,Nov,11.3,Vermicompost,Basal,2,90,Powdery Mildew,Apply neem extract,9.71
Onion,Black soil,6.9 - 8.0,May,29.8,Compost,Top Dressing,8,96,Stem Borer,Use fungicide,14.18
Cotton,Loamy,6.9 - 7.8,Feb,5.2,DAP,Basal,7,99,Wilt,Use fungicide,5.02
Spinach,Loamy,5.8 - 7.9,Jul,11.0,Vermicompost,Basal,4,99,Anthracnose,Remove infected parts,10.27
Spinach,Clay,6.1 - 8.4,Apr,9.0,NPK,Top Dressing,5,152,Root Rot,Spray insecticide,19.06
Sugarcane,Loamy,5.9 - 8.4,Oct,6.5,NPK,Both,3,120,No major disease,Spray insecticide,26.68
Coriander,Loamy,6.5 - 7.7,Aug,12.5,Compost,Top Dressing,6,68,Powdery Mildew,Remove infected parts,7.62
Apple,Loamy,7.2 - 7.6,Feb,4.5,Vermicompost,Both,4,113,No major disease,Apply neem extract,10.98
Black Gram,Alluvial,6.8 - 7.7,Dec,26.6,Urea,Both,2,102,Leaf Spot,Use crop rotation,16.42
Pigeon Pea,Loamy,6.5 - 8.1,Sep,16.0,NPK,Both,6,174,Wilt,Use fungicide,6.68
Ginger,Loamy,6.3 - 8.2,Feb,28.7,DAP,Basal,4,99,No major disease,Spray insecticide,6.16
Pearl Millet,Alluvial,5.6 - 7.7,Aug,13.1,Vermicompost,Both,7,172,Powdery Mildew,No treatment needed,19.02
Grapes,Black soil,6.2 - 7.8,Sep,25.7,Urea,Top Dressing,3,64,Anthracnose,Use fungicide,7.94
Pearl Millet,Sandy loam,7.3 - 7.9,Feb,16.8,Vermicompost,Top Dressing,7,97,Stem Borer,Apply neem extract,14.87
Tea,Loamy,7.1 - 8.0,Mar,17.4,Compost,Basal,7,74,No major disease,Use fungicide,7.73
Tomato,Alluvial,6.9 - 7.7,Jul,22.5,Compost,Both,6,107,Rust,Remove infected parts,33.22
Apple,Black soil,7.5 - 8.2,Feb,9.3,Vermicompost,Both,7,70,Wilt,Use fungicide,25.26
Finger Millet,Black soil,6.0 - 8.2,Oct,7.1,Urea,Both,5,125,Anthracnose,No treatment needed,7.12
Sesame,Sandy loam,5.9 - 7.8,May,26.2,DAP,Basal,6,150,Leaf Spot,Use fungicide,16.7
Pineapple,Loamy,5.9 - 8.3,May,19.2,NPK,Basal,7,178,Downy Mildew,Remove infected parts,29.56
Sesame,Black soil,7.5 - 8.3,Oct,10.0,Vermicompost,Basal,5,61,No major disease,No treatment needed,31.7
Cabbage,Black soil,6.3 - 8.2,May,10.4,Vermicompost,Both,4,144,Blight,Spray insecticide,25.33
Beetroot,Sandy loam,7.3 - 7.9,Aug,18.4,Compost,Basal,6,148,Powdery Mildew,Use fungicide,15.13
Orange,Alluvial,5.7 - 7.9,Aug,22.1,DAP,Both,6,83,No major disease,Use fungicide,24.45
Apple,Clay,5.8 - 8.2,May,12.6,Vermicompost,Basal,7,163,No major disease,No treatment needed,18.61
Lemon,Black soil,6.9 - 8.0,Feb,10.7,Compost,Basal,7,169,Blight,Use crop rotation,18.77
Wheat,Sandy loam,6.0 - 8.4,Dec,25.0,Urea,Basal,6,76,No major disease,Use fungicide,26.27
Grapes,Alluvial,6.6 - 8.1,Sep,6.1,DAP,Basal,7,170,Stem Borer,Use crop rotation,5.58
Chili,Black soil,7.3 - 8.5,Apr,9.4,NPK,Basal,4,117,Wilt,No treatment needed,14.71
Chickpea,Clay,5.7 - 8.4,Jun,20.2,Compost,Both,5,101,Blight,Remove infected parts,7.96
Pearl Millet,Loamy,6.3 - 8.1,Jul,15.7,Compost,Top Dressing,4,152,Rust,Apply neem extract,21.59
Groundnut,Clay,7.2 - 7.9,Apr,14.0,DAP,Basal,7,133,Downy Mildew,Use fungicide,14.55
Groundnut,Black soil,7.2 - 8.1,Nov,8.7,DAP,Both,4,160,Powdery Mildew,Use fungicide,14.23
Maize,Alluvial,7.0 - 8.1,Oct,7.6,Compost,Basal,8,163,Rust,Use fungicide,24.2
Chili,Alluvial,5.8 - 7.7,Sep,28.4,Vermicompost,Top Dressing,2,168,Root Rot,Use fungicide,34.82
Turmeric,Sandy loam,6.9 - 8.1,Nov,15.4,Urea,Both,6,77,Stem Borer,Use crop rotation,10.8
Pineapple,Loamy,7.2 - 7.6,May,3.1,Compost,Top Dressing,7,142,Leaf Spot,Spray insecticide,17.44
Green Gram,Black soil,6.9 - 8.1,May,29.5,DAP,Top Dressing,2,98,Blight,Remove infected parts,17.63
Apple,Black soil,5.8 - 7.9,Dec,24.3,Vermicompost,Top Dressing,5,93,Blight,No treatment needed,21.53
Okra,Clay,5.9 - 7.7,Sep,14.6,Vermicompost,Both,6,150,Wilt,Apply neem extract,19.21
Cabbage,Sandy loam,6.9 - 7.8,Aug,15.3,Compost,Basal,5,154,No major disease,Spray insecticide,27.71
Onion,Loamy,6.8 - 7.8,Oct,3.3,Compost,Both,3,79,Wilt,Spray insecticide,22.28
Coriander,Loamy,5.9 - 7.6,Mar,13.9,Urea,Basal,3,64,Anthracnose,Apply neem extract,17.05
Potato,Black soil,6.5 - 7.9,Sep,3.7,NPK,Both,3,159,Powdery Mildew,Apply neem extract,16.01
Onion,Loamy,7.4 - 7.7,Jan,4.4,Urea,Both,8,168,Root Rot,Remove infected parts,23.59
Mustard,Black soil,6.8 - 7.7,Jun,10.6,DAP,Both,8,150,No major disease,Use fungicide,21.2
Apple,Clay,6.9 - 8.4,Oct,22.7,DAP,Basal,7,102,Leaf Spot,No treatment needed,24.82
Potato,Loamy,6.9 - 8.5,Mar,7.2,DAP,Both,8,125,Leaf Spot,Apply neem extract,13.72
Coriander,Alluvial,6.5 - 7.6,Oct,4.3,Urea,Both,2,163,Rust,Remove infected parts,26.27
Carrot,Loamy,6.0 - 8.3,Aug,14.9,DAP,Basal,3,177,Wilt,Use crop rotation,13.0
Ginger,Loamy,6.0 - 8.3,Jan,11.5,Urea,Both,5,137,Blight,Use fungicide,10.03
Soybean,Loamy,6.8 - 7.9,Jul,19.2,Compost,Both,7,159,Blight,Use fungicide,17.65
Sugarcane,Clay,6.2 - 8.2,Nov,5.6,NPK,Both,2,165,Rust,Spray insecticide,34.03
Ginger,Black soil,6.8 - 7.8,Nov,11.8,DAP,Basal,8,106,Rust,Use fungicide,12.47
Turmeric,Sandy loam,5.9 - 8.3,Oct,19.7,Compost,Basal,3,171,Root Rot,Spray insecticide,19.02
Guava,Black soil,5.5 - 7.7,Aug,21.8,Urea,Basal,3,94,No major disease,Use fungicide,28.09
Finger Millet,Clay,6.4 - 7.9,Jun,9.6,DAP,Top Dressing,4,90,Root Rot,Remove infected parts,17.27
Potato,Loamy,6.0 - 7.6,Feb,27.6,DAP,Both,6,175,Leaf Spot,Remove infected parts,10.92
Maize,Clay,6.5 - 8.0,Nov,9.8,Urea,Top Dressing,8,106,Downy Mildew,Use crop rotation,23.26
Pumpkin,Alluvial,7.2 - 7.9,Dec,29.3,DAP,Both,4,154,Rust,Use crop rotation,6.71
Beetroot,Black soil,6.2 - 7.9,Mar,22.8,Vermicompost,Both,2,151,Blight,Use fungicide,8.81
Groundnut,Loamy,5.7 - 8.4,May,21.5,NPK,Basal,7,167,Wilt,Use crop rotation,7.94
Onion,Sandy loam,6.9 - 8.2,Apr,5.7,Compost,Top Dressing,6,143,Wilt,Use fungicide,13.15
Maize,Sandy loam,6.4 - 8.0,Aug,16.2,NPK,Top Dressing,2,65,Wilt,Use crop rotation,9.43
Pearl Millet,Loamy,6.5 - 7.8,Sep,10.4,NPK,Basal,6,77,Rust,Use crop rotation,26.0
Grapes,Black soil,6.2 - 8.2,Jan,17.5,Vermicompost,Top Dressing,5,128,No major disease,Apply neem extract,24.13
Guava,Alluvial,7.0 - 7.9,Sep,21.9,DAP,Both,2,75,Rust,Use fungicide,5.22
Finger Millet,Loamy,5.8 - 7.6,Sep,29.8,Urea,Both,4,160,Stem Borer,Use crop rotation,5.47
Grapes,Alluvial,5.9 - 8.0,Jul,6.1,Compost,Top Dressing,5,120,Powdery Mildew,Spray insecticide,19.51
Carrot,Sandy loam,7.3 - 8.1,Jul,13.5,Compost,Basal,5,120,Powdery Mildew,No treatment needed,28.26
Guava,Black soil,5.7 - 7.8,Apr,9.1,DAP,Top Dressing,3,143,Anthracnose,Apply neem extract,20.93
Guava,Black soil,5.5 - 7.7,Jan,25.9,NPK,Basal,4,85,Stem Borer,Use crop rotation,21.36
Mango,Sandy loam,6.2 - 8.3,Dec,20.6,Compost,Basal,5,129,Downy Mildew,Apply neem extract,27.94
Pigeon Pea,Sandy loam,7.4 - 7.6,Sep,20.9,Vermicompost,Basal,3,179,Wilt,Use crop rotation,13.74
Apple,Loamy,5.8 - 8.0,Jul,7.0,Vermicompost,Both,6,159,Wilt,No treatment needed,24.85
Radish,Loamy,7.1 - 7.7,Jan,3.3,DAP,Both,3,180,Powdery Mildew,No treatment needed,8.12
Orange,Sandy loam,5.8 - 8.2,Jun,27.5,DAP,Top Dressing,7,60,Blight,Spray insecticide,30.12
Green Gram,Black soil,7.4 - 7.9,Jun,13.4,Compost,Basal,4,127,Downy Mildew,Spray insecticide,26.01
Sunflower,Sandy loam,7.4 - 7.9,Mar,14.2,Compost,Both,5,180,Anthracnose,Use fungicide,17.84
Sesame,Black soil,7.5 - 8.1,Aug,14.7,Compost,Both,5,165,Downy Mildew,No treatment needed,16.18
Pineapple,Sandy loam,6.1 - 8.0,May,8.8,Vermicompost,Both,7,155,Blight,Use fungicide,34.76
Spinach,Loamy,6.6 - 8.3,Dec,20.3,Urea,Top Dressing,3,167,Downy Mildew,Use fungicide,23.13
Coffee,Loamy,7.1 - 8.1,Aug,3.9,DAP,Basal,3,129,Rust,No treatment needed,33.92
Peas,Black soil,6.5 - 8.2,Feb,19.6,Urea,Top Dressing,7,136,Stem Borer,Use crop rotation,11.16
Chili,Loamy,5.7 - 7.7,Jan,9.4,Vermicompost,Basal,2,141,Root Rot,Remove infected parts,33.27
Grapes,Alluvial,6.3 - 8.1,Sep,28.3,Urea,Both,7,116,Powdery Mildew,Remove infected parts,18.15
Cotton,Clay,5.9 - 7.6,Dec,12.2,Vermicompost,Basal,6,124,Powdery Mildew,Use crop rotation,26.03
Barley,Alluvial,5.8 - 8.2,Oct,17.2,Urea,Both,2,103,Leaf Spot,Use crop rotation,11.31
Coffee,Loamy,7.1 - 7.8,May,17.5,Vermicompost,Both,8,98,Root Rot,No treatment needed,25.51
Coriander,Sandy loam,6.2 - 8.1,Jun,14.7,NPK,Both,3,133,Anthracnose,Spray insecticide,11.65
Lemon,Loamy,5.7 - 7.6,Dec,5.2,DAP,Both,2,95,No major disease,Use crop rotation,30.87
